ticker,name,type,dilution,capital_raised,rrr__m,rev_growth,arr__m,arr_growth,effective_cash,net_cash,market_cap__m,founding_year,ipo_year,last_filing,gross_margin,ltm_fcf_pct,efficiency,quarter_fcf_pct,ltm_free_cash_flow_growth_pct,net_dollar_retention,ltm_magic_number,quarter_magic_number,cac_ratio,ltm_median_payback_period,implied_5yr_ltv,implied_cac,implied_5yr_ltv/cac,arr_per_customer,run_rate/employees__k,r&d_pct,general_admin_margin,s&m_pct,growth_persistence,last_year_quarter_growth,operating_income_pct,2020_analyst_revenue_estimates,last_year_run_rate__m,ltm_revenue__m,ltm_revenue_growth
QUAL,Qualtrics,top_down_ent,,400,388.58,39.66845904,288.1,41.85130478,135.61,135.61,8000,2002,2019,,,,,,,122,,,,25,,,,,,,,,,,,,,,
CRWD,Crowdstrike,top_down_ent,61.8,481,384,103,182,114,175,175,11623,2011,2019,4/30/19,70,-22,81,-17,,147,1.1,1.3,0.8,15.2,532410.8,90861.9,5.9,59621,198,25,12,59,,,-27,664,189,298,
DDOG,Datadog,bot_up_ent,55.6,147.8999939,332,82,332,82,52,52,10265,2010,2019,6/30/19,75,-5,77,-4,,146,1.4,1.8,1.1,11.3,674607.2,,,37727,246,29,7,43,76,109,-5,532,182,265,83
ZM,Zoom Video,bot_up_ent,39.8,146,423,108,423,108,176,176,34733,2011,2019,1/31/19,82,7,114,5,127,140,1.4,1.2,1.1,10.7,127586.3,,,8326,246,10,14,52,,,5,836,203,330,119
AYX,Alteryx,top_down_ent,,163,99,62,99,62,52,52,5972,1997,2017,12/31/16,83,-13,49,9,,135,0.7,0.7,0.6,20.9,571468.6,47886.1,11.9,42525,78,20,24,60,,,-22,556,61,85,60
TWLO,Twilio,bot_up_ent,48.2,264.8,237,78,199.336,9.217924492,103.32,103,11670,2008,2016,3/31/16,55,-11,67,5,,170,2.1,2.4,1.2,10.4,,4001.2,,,89,15,18,23,86,90,-11,"1,467",133,192,85
LSPD,Lightspeed POS,,,347,80,34,,,,,3016,2005,2019,12/31/18,70,-14,20,-20,,,0.6,0.7,0.4,28.8,,,,,100,25,17,50,,,-29,213,59,71,
ESTC,Elastic N.V.,bot_up_ent,46.7,162,226,79,196,77,51,51,4080,2012,2018,7/31/18,73,-11,68,8,,142,1.2,1,0.9,14,575132.6,55854,10.3,35636,125,34,18,54,87,91,-33,476,126,184,79
NET,Cloudflare,bot_up_ent,64.1,332.05,269,49,269.696,49,124,124,7021,2009,2019,6/30/19,78,,,-58,,111,0.9,0.7,0.7,17.9,,,,911,216,28,26,53,85,57,-29,390,181,234,39
SMAR,Smartsheet,bot_up_ent,,113.2200012,131,68,119,63,58,58,4724,2005,2018,1/31/18,81,-23,44,-30,,130,0.8,0.7,0.6,18.6,18868.4,13059.9,1.4,1605,85,29,17,61,,,-26,345,78,111,68
BILL,Bill.com,smb,,279.7000122,140,57,114,58,157,157,2255,2006,2019,9/30/19,74,,,-13,,110,1.6,1.4,1.2,9.9,9401.9,2170.4,4.3,1400,,33,30,29,80,71,-18,161,89,121,64
WORK,Slack,bot_up_ent,,1390,539,67,539,67,792,792,13721,2009,2019,4/30/19,86,-26,41,-25,,138,1,0.7,0.9,14,82508.7,9969,8.3,5673,252,38,27,50,74,89,-29,777,323,454,76
COUP,Coupa Software,top_down_ent,,169,124,66,111.1,60.31746032,79.943,79,8234,2006,2016,7/31/16,63,-26,41,5,,,0.8,0.5,0.5,22.5,,,,,79,23,15,62,,,-37,457,74,109,73
SHOP,Shopify,smb,,122.25,149,99,88.8,72.33348859,59.161,,40281,2004,2015,3/31/15,58,,,11,,,1.6,0.7,0.9,13.1,,,,,27,20,11,36,93,106,-9,"2,160",75,123,108
