ticker,name,revenue_run_rate__m,revenue_growth,arr__m,arr_growth,effective_cash,capital_raised,market_cap__m,founding_year,ipo_year,last_filing,gross_margin,ltm_fcf_pct,efficiency,quarter_fcf_pct,ltm_free_cash_flow_growth_pct,net_dollar_retention,ltm_magic_number,quarter_magic_number,cac_ratio,ltm_median_payback_period,implied_5yr_ltv,implied_cac,implied_5yr_ltv/cac,arr_per_customer,run_rate/employees__k,r&d_pct,general_admin_margin,s&m_pct,growth_persistence,last_year_quarter_growth,operating_income_pct,2020_analyst_revenue_estimates,last_year_run_rate__m,ltm_revenue__m,ltm_revenue_growth,net_cash
CRWD,Crowdstrike,384,103,182,114,175,481,11623,2011,2019,4/30/19,70,-22,81,-17,,120,1.1,1.3,0.8,15.2,532410.8,90861.9,5.9,59621,198,25,12,59,,,-27,664,189,298,,175
DDOG,Datadog,332,82,332,82,52,147.8999939,10265,2010,2019,6/30/19,75,-5,77,-4,,146,1.4,1.8,1.1,11.3,674607.2,,,37727,246,29,7,43,76,109,-5,532,182,265,83,52
ZM,Zoom Video,423,108,423,108,176,146,34733,2011,2019,1/31/19,82,7,114,5,127,140,1.4,1.2,1.1,10.7,127586.3,,,8326,246,10,14,52,,,5,836,203,330,119,176
AYX,Alteryx,99,62,99,62,52,163,5972,1997,2017,12/31/16,83,-13,49,9,,135,0.7,0.7,0.6,20.9,571468.6,47886.1,11.9,42525,78,20,24,60,,,-22,556,61,85,60,52
TWLO,Twilio,237,78,199.336,9.217924492,103.32,264.8,11670,2008,2016,3/31/16,55,-11,67,5,,170,2.1,2.4,1.2,10.4,,4001.2,,,89,15,18,23,86,90,-11,"1,467",133,192,85,103
LSPD,Lightspeed POS,80,34,,,,,3016,2005,2019,12/31/18,70,-14,20,-20,,,0.6,0.7,0.4,28.8,,,,,100,25,17,50,,,-29,213,59,71,,
ESTC,Elastic N.V.,226,79,196,77,51,162,4080,2012,2018,7/31/18,73,-11,68,8,,142,1.2,1,0.9,14,575132.6,55854,10.3,35636,125,34,18,54,87,91,-33,476,126,184,79,51
NET,Cloudflare,269,49,269.696,49,124,332.05,7021,2009,2019,6/30/19,78,,,-58,,111,0.9,0.7,0.7,17.9,,,,,216,28,26,53,85,57,-29,390,181,234,39,124
SMAR,Smartsheet,131,68,119,63,58,113.2200012,4724,2005,2018,1/31/18,81,-23,44,-30,,130,0.8,0.7,0.6,18.6,18868.4,13059.9,1.4,1605,85,29,17,61,,,-26,345,78,111,68,58
BILL,Bill.com,140,57,114,58,157,279.7000122,2255,2006,2019,9/30/19,74,,,-13,,110,1.6,1.4,1.2,9.9,9401.9,2170.4,4.3,1400,,33,30,29,80,71,-18,161,89,121,64,157
