ticker,name,arr__m,arr_growth,capital_raised,effective_cash
LSPD,Lightspeed POS,,,,
NET,Cloudflare,269.696,49,332.05,
SVMK,Survey Monkey,225.7,16.18257261,1140,
DBX,Dropbox ,1222,28,1710,
TENB,Tenable,210.421,53,309.84,
VEEV,Veeva Systems,136.252,115.9713416,7,
NEWR,New Relic,101.444,77.49860022,214.5,
ZEN,Zendesk,90.004,82.86062576,85.5,
XRO,Xero,,,,
NOW,ServiceNow,138.22,88.05442177,83.7,
TWLO,Twilio,199.336,9.217924492,264.8,103.32
SHOP,Shopify,88.8,72.33348859,122.25,59.161
PAYC,,,,,
MIME,Mimecast,133.312,23.69817763,90.24,36.51
TLND,,,,101.58,
RPD,,,,89,
COUP,,111.1,60.31746032,169,79.943
PS,,,,,
FSLY,,,,219,
BOX,,,,558.95,
GDDY,,,,,
BKI,,,,,
BAND,,,,,
DT,,,,,
APPN,,,,,
SAIL,,,,,
BL,,,,,
TTD,,,,,
INST,,,,89.1,
APPF,,,,,
YEXT,,,,117.82,
EB,,,,,
