name,ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF %,Efficiency,Quarter FCF %,LTM Free Cash Flow Growth %,Founding Year,IPO Year,Net Dollar Retention,LTM Magic Number,Quarter Magic Number,CAC Ratio,LTM Median Payback Period,Implied 5yr LTV,Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer,Run Rate/Employees ($K),R&D %,General Admin Margin,S&M %,Revenue Run Rate ($M),ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,2020 Analyst Revenue Estimates,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,Effective Cash,Net Cash
Crowdstrike,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datadog,DDOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoom Video,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alteryx,AYX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilio,TWLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightspeed POS,LSPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elastic N.V.,ESTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloudflare,NET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartsheet,SMAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill.com,BILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slack,WORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coupa Software,COUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopify,SHOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloudera,CLDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okta,OKTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MongoDB,MDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastly,FSLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaplan,PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2U,TWOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalara,AVLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocuSign,DOCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlassian Corporation,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everbridge,EVBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zscaler,ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PagerDuty,PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salesforce.com,CRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Trade Desk,TTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veeva Systems,VEEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ringcentral,RNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppFolio,APPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zendesk,ZEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid7,RPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ServiceNow,NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pluralsight,PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x8,EGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HubSpot,HUBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2 Holdings,QTWO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenable Holdings,TENB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackLine,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paycom Software,PAYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
