name,ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF %,Efficiency,Quarter FCF %,LTM Free Cash Flow Growth %,Founding Year,IPO Year,Net Dollar Retention,LTM Magic Number,Quarter Magic Number,CAC Ratio,LTM Median Payback Period,Implied 5yr LTV,Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer,Run Rate/Employees ($K),R&D %,General Admin Margin,S&M %,Revenue Run Rate ($M),ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,2020 Analyst Revenue Estimates,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,Effective Cash,Net Cash,Earnings Link
Salesforce.com,CRM,,4/30/04,,84%,82%,,,18%,,1999,2004,,1.3,2.6,1,11.7,,,,,3,6%,16%,59%,$139 ,,,82%,102%,1%,"$20,046 ",$75 ,,,,,[object Object]
LogMein,LOGM,,3/31/09,,73%,90%,,,,,2003,2009,,0.8,0.6,0.7,16.5,,,,,15,17%,10%,49%,$68 ,,,,,13%,"$1,320 ",$39 ,$59 ,,,,[object Object]
LogMein,LOGM,,6/30/09,,58%,90%,,,,,2003,2009,,0.7,0.4,0.6,19.1,,,,,16,16%,10%,49%,$72 ,,,,,14%,"$1,320 ",$45 ,$65 ,,$30 ,$30 ,[object Object]
RealPage,RP,,6/30/10,,30%,59%,,,,,1998,2010,,1.5,1.8,0.9,13.2,,,,,34,20%,15%,20%,$179 ,,,,,4%,"$1,167 ",$137 ,$159 ,24%,,,[object Object]
Palo Alto Networks,PANW,,4/30/12,,111%,72%,,,10%,,2005,2012,,2.4,1.4,1.7,6.9,,23283.6,,22451,34,16%,10%,46%,$262 ,$174 ,98%,,,0%,"$3,523 ",$124 ,$219 ,,,,[object Object]
Workday,WDAY,,7/31/12,,108%,55%,-33%,75%,-3%,,2005,2012,,1.5,0.9,0.8,14.7,,,,,20,38%,12%,47%,$250 ,$168 ,115%,,,-42%,"$4,161 ",$120 ,$199 ,,$122 ,$122 ,[object Object]
Splunk,SPLK,,1/31/12,,90%,92%,,,18%,,2003,2012,,1.7,2.5,1.5,7.8,,47947.5,,,29,,15%,61%,$172 ,,,,,,"$2,508 ",$91 ,$120 ,82%,$31 ,$30 ,
ServiceNow,NOW,,3/31/12,,88%,55%,,,16%,,2004,2012,96%,1.7,1.8,0.9,13,651865.8,185210,3.5,147113,18,13%,14%,41%,$189 ,$158 ,88%,,,-12%,"$4,417 ",$100 ,$150 ,,85.948,,[object Object]
Xero,XRO,,9/30/12,,,,,,,,2006,2012,,,,,,,,,,,,,,,,,,,,,,,,$30 ,$30 ,
FireEye,FEYE,,6/30/13,,108%,69%,-23%,86%,-102%,,2004,2013,,1.7,0.7,1.2,10.4,,,,61818,41,42%,31%,113%,$132 ,$68 ,79%,104%,104%,-118%,$933 ,$63 ,$115 ,121%,$54 ,$34 ,[object Object]
Wix.com,WIX,,9/30/13,,86%,80%,,,0%,,2006,2013,,1,0.9,0.8,15,,,,,27,36%,10%,68%,$85 ,,,118%,73%,-34%,$947 ,$45 ,$68 ,79%,,,[object Object]
Veeva Systems,VEEV,,7/31/13,,68%,61%,21%,89%,12%,,2007,2013,,2.8,3.5,1.7,7,,,,,67,13%,9%,19%,$198 ,,,,,21%,"$1,321 ",$117 ,$163 ,,$52 ,$52 ,[object Object]
Ringcentral,RNG,,6/30/13,,40%,61%,,,-49%,,1999,2013,99%,0.7,0.5,0.4,28,,,,,42,23%,30%,43%,$150 ,$12 ,50%,,,-35%,"$1,123 ",$108 ,$135 ,,$19 ,$19 ,[object Object]
Zendesk,ZEN,,3/31/14,,80%,64%,-13%,67%,-28%,,2007,2014,,1.3,0.9,0.8,14.7,,,,,28,11%,25%,57%,$100 ,,,80%,100%,-39%,"$1,049 ",$55 ,$83 ,84%,63.614,,[object Object]
New Relic,NEWR,,9/30/14,,77%,80%,-49%,28%,-84%,,2007,2014,115%,0.7,0.6,0.5,22.8,,,,,49,21%,21%,75%,$101 ,,,67%,115%,-37%,$661 ,$57 ,$85 ,93%,$92 ,$92 ,[object Object]
2U,TWOU,,12/31/13,,51%,,-23%,28%,4%,,2008,2014,144%,1,1.1,,,,,,,37,26%,16%,53%,$99 ,,,,,-21%,$732 ,$65 ,$83 ,51%,$7 ,$7 ,[object Object]
Workiva,WK,,9/30/14,,31%,69%,,,,,2008,2014,,0.8,0.4,0.5,21.9,,,,,73,40%,16%,58%,$111 ,,,85%,37%,-45%,$341 ,$85 ,$106 ,36%,$20 ,$10 ,[object Object]
Q2 Holdings,QTWO,,12/31/13,,31%,31%,,,-15%,,2005,2014,128%,1.2,1.2,0.4,31.5,,135264.7,,,57,,22%,31%,$62 ,,,,,,$409 ,$47 ,$56 ,37%,$18 ,$18 ,
Paylocity,PCTY,,12/31/13,,,44%,,,,,1997,2014,,1.4,1.2,0.6,18.8,,,,,33,10%,22%,23%,$95 ,$18 ,,,,-10%,$617 ,,,,,,[object Object]
Shopify,SHOP,,3/31/15,,99%,58%,,,11%,,2004,2015,,1.6,0.7,0.9,13.1,,,,,27,20%,11%,36%,$149 ,$89 ,71%,93%,106%,-9%,"$2,160 ",$75 ,$123 ,108%,,,[object Object]
Instructure,INST,,9/30/15,,68%,67%,,,88%,,2008,2015,100%,0.5,1.4,0.4,32.7,,,,,58,31%,22%,63%,$83 ,$0 ,-99%,,,-48%,$302 ,$49 ,$65 ,,,,[object Object]
AppFolio,APPF,,3/31/15,,61%,55%,,,,,2006,2015,,1.8,2,1,12.4,,,,,60,13%,21%,36%,$63 ,,,,,-22%,$319 ,$39 ,$53 ,,,,[object Object]
Atlassian Corporation,TEAM,,9/30/15,,50%,84%,20%,70%,8%,,2002,2015,,2,2.1,1.7,7.2,,6380.6,,2343,95,45%,17%,16%,$407 ,$121 ,78%,112%,45%,6%,"$1,772 ",$271 ,$353 ,50%,$223 ,$223 ,[object Object]
Rapid7,RPD,,6/30/15,,44%,74%,,,,,2000,2015,,0.6,0.7,0.4,27.1,,52086.6,,13955,64,32%,20%,56%,$103 ,$58 ,32%,193%,23%,-33%,$400 ,$71 ,$91 ,38%,,,[object Object]
GoDaddy,GDDY,,3/31/15,,18%,64%,11%,28%,17%,,2014,2015,,1.6,0.4,1,11.6,,110,,,210,18%,13%,13%,"$1,505 ",,,,,-5%,"$3,297 ","$1,280 ","$1,443 ",,$197 ,"($1,221)",[object Object]
GoDaddy,GDDY,,12/31/14,,,64%,9%,,2%,16%,2014,2015,,1.8,1.5,1.1,10.5,,192.3,,,207,,11%,12%,"$1,486 ",,,,,,"$3,297 ",,"$1,387 ",,$142 ,$137 ,
Nutanix,NTNX,,7/31/16,,168%,73%,-8%,160%,-3%,,2009,2016,,1.1,4.4,0.8,15.4,,115097.1,,182758,131,18%,5%,43%,$793 ,$689 ,5797%,187%,90%,-24%,"$1,402 ",$296 ,$503 ,109%,$185 ,$38 ,
The Trade Desk,TTD,,6/30/16,,93%,82%,,,7%,,2009,2016,,8,8,6.5,1.8,,,,,148,12%,14%,24%,$188 ,,,48%,192%,32%,$837 ,$97 ,$148 ,106%,$37 ,($27),[object Object]
Twilio,TWLO,,3/31/16,,78%,55%,-11%,67%,5%,,2008,2016,170%,2.1,2.4,1.2,10.4,,4001.2,,,89,15%,18%,23%,$237 ,,,86%,90%,-11%,"$1,467 ",$133 ,$192 ,85%,$103 ,$103 ,[object Object]
Coupa Software,COUP,,7/31/16,,66%,63%,-26%,41%,5%,,2006,2016,,0.8,0.5,0.5,22.5,,,,,79,23%,15%,62%,$124 ,,,,,-37%,$457 ,$74 ,$109 ,73%,$79 ,$79 ,[object Object]
BlackLine,BL,,9/30/16,,49%,77%,-4%,44%,9%,,2001,2016,118%,0.6,0.7,0.5,26,,186990.2,,,123,16%,24%,59%,$128 ,,,,,-22%,$348 ,$86 ,$112 ,,$19 ,$19 ,[object Object]
Talend S.A.,TLND,,6/30/16,,38%,75%,-16%,22%,-8%,,2005,2016,124%,58.5,118,43.8,0.3,,,,,76,0%,1%,0%,$101 ,$84 ,40%,197%,19%,-30%,$297 ,$73 ,$88 ,,,,[object Object]
Okta,OKTA,,1/31/17,,82%,68%,-13%,69%,-20%,,2009,2017,123%,0.8,0.9,0.6,21.7,570496.7,155971.2,3.7,58766,81,21%,18%,48%,$197 ,$183 ,95%,,,-36%,$714 ,$108 ,$160 ,88%,$37 ,$37 ,
