name,ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF %,Efficiency,Quarter FCF %,LTM Free Cash Flow Growth %,Founding Year,IPO Year,% of 52 Week High,Net Dollar Retention,LTM Magic Number,Quarter Magic Number,CAC Ratio,LTM Median Payback Period,Implied 5yr LTV,Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer,Run Rate/Employees ($K),R&D %,General Admin Margin,S&M %,Revenue Run Rate ($M),ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,2020 Analyst Revenue Estimates,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,Enterprise Value,Effective Cash,Net Cash
Crowdstrike,CRWD,$56.55 ,1/31/20,"$11,623 ",89%,71%,2%,92%,33%,,2011,2019,57%,124%,1.2,1.6,0.8,14.5,1106240.1,78936.8,14,110845,313,25%,17%,50%,$608 ,$602 ,285%,83%,108%,-20%,$664 ,$321 ,$481 ,93%,"$10,710 ",$912 ,$912 
Datadog,DDOG,$34.85 ,12/31/19,"$10,265 ",84%,77%,,84%,10%,,2010,2019,70%,130%,1.6,1.8,1.2,9.8,,,,,337,32%,11%,37%,$454 ,$454 ,85%,102%,83%,-2%,$532 ,$246 ,$362 ,83%,"$9,491 ",$773 ,$773 
Zoom Video,ZM,$125.66 ,1/31/20,"$34,733 ",78%,83%,18%,96%,14%,414%,2011,2019,79%,130%,1.1,0.9,0.9,13.1,108084.9,12313.8,8.8,9194,438,11%,13%,54%,$753 ,$753 ,78%,72%,108%,6%,$836 ,$423 ,$622 ,88%,"$33,877 ",$855 ,$855 
Alteryx,AYX,$86.42 ,12/31/19,"$5,972 ",75%,92%,5%,81%,10%,-12%,1997,2017,55%,130%,1.8,4.8,1.6,7.3,1207073.9,92360.8,13.1,102677,491,13%,15%,39%,$625 ,$625 ,76%,58%,131%,25%,$556 ,$356 ,$417 ,65%,"$5,883 ",$786 ,$88 
Twilio,TWLO,$85.09 ,12/31/19,"$11,670 ",62%,53%,-5%,57%,-6%,,2008,2016,57%,124%,1.7,1.4,0.9,13.4,,14571.1,,,500,33%,16%,32%,"$1,324 ",,,80%,77%,-28%,"$1,467 ",$817 ,"$1,134 ",74%,"$10,276 ","$1,852 ","$1,394 "
Lightspeed POS,LSPD,$34.48 ,12/31/19,"$3,016 ",61%,64%,-22%,39%,-37%,,2005,2019,100%,,1.1,1.4,0.7,17.2,,,,,160,25%,22%,47%,$129 ,$28 ,,178%,34%,-51%,$213 ,$80 ,$105 ,48%,"$2,889 ",$126 ,$126 
Elastic N.V.,ESTC,$50.60 ,1/31/20,"$4,080 ",60%,70%,-13%,47%,-21%,,2012,2018,49%,130%,0.9,0.9,0.6,19.2,444483.7,67525,6.6,37809,249,41%,19%,48%,$452 ,$397 ,62%,85%,70%,-37%,$476 ,$283 ,$384 ,60%,"$3,786 ",$294 ,$294 
Cloudflare,NET,$23.39 ,12/31/19,"$7,021 ",51%,78%,,,-28%,,2009,2019,97%,,0.8,0.9,0.6,19,,,,,270,31%,27%,56%,$335 ,,,118%,44%,-36%,$390 ,$221 ,$287 ,49%,"$6,385 ",$636 ,$636 
Smartsheet,SMAR,$40.21 ,1/31/20,"$4,724 ",51%,80%,-10%,41%,-5%,,2005,2018,73%,135%,0.6,0.5,0.5,23.9,45421.8,,,3380,204,36%,18%,64%,$314 ,$284 ,54%,87%,58%,-38%,$345 ,$208 ,$270 ,53%,"$4,157 ",$566 ,$566 
Bill.com,BILL,$31.18 ,12/31/19,"$2,255 ",50%,75%,,,-7%,,2006,2019,50%,,1.5,1.5,1.1,10.9,,2268.4,,1525,,33%,33%,29%,$156 ,$131 ,62%,70%,71%,-20%,$161 ,$103 ,$134 ,58%,"$1,872 ",$383 ,$383 
