name,ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF %,Efficiency,Quarter FCF %,LTM Free Cash Flow Growth %,Founding Year,IPO Year,Net Dollar Retention,LTM Magic Number,Quarter Magic Number,CAC Ratio,LTM Median Payback Period,Implied 5yr LTV,Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer,Run Rate/Employees ($K),R&D %,General Admin Margin,S&M %,Revenue Run Rate ($M),ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,2020 Analyst Revenue Estimates,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,Effective Cash,Net Cash,Earnings Link
Zoom Video,ZM,,1/31/19,,108%,82%,7%,114%,5%,127%,2011,2019,140%,1.4,1.2,1.1,10.7,127586.3,,,8326,246,10%,14%,52%,$423 ,$423 ,108%,,,5%,$836 ,$203 ,$330 ,119%,$176 ,$176 ,[object Object]
Crowdstrike,CRWD,,4/30/19,,103%,70%,-22%,81%,-17%,,2011,2019,120%,1.1,1.3,0.8,15.2,532410.8,90861.9,5.9,59621,198,25%,12%,59%,$384 ,$182 ,114%,,,-27%,$664 ,$189 ,$298 ,,$175 ,$175 ,[object Object]
Datadog,DDOG,,6/30/19,,82%,75%,-5%,77%,-4%,,2010,2019,146%,1.4,1.8,1.1,11.3,674607.2,,,37727,246,29%,7%,43%,$332 ,$332 ,82%,76%,109%,-5%,$532 ,$182 ,$265 ,83%,$52 ,$52 ,[object Object]
Slack,WORK,,4/30/19,,67%,86%,-26%,41%,-25%,,2009,2019,138%,1,0.7,0.9,14,82508.7,9969,8.3,5673,252,38%,27%,50%,$539 ,$539 ,67%,74%,89%,-29%,$777 ,$323 ,$454 ,76%,$792 ,$792 ,[object Object]
Bill.com,BILL,,9/30/19,,57%,74%,,,-13%,,2006,2019,110%,1.6,1.4,1.2,9.9,9401.9,2170.4,4.3,1400,,33%,30%,29%,$140 ,$114 ,58%,80%,71%,-18%,$161 ,$89 ,$121 ,64%,$157 ,$157 ,[object Object]
Cloudflare,NET,,6/30/19,,49%,78%,,,-58%,,2009,2019,111%,0.9,0.7,0.7,17.9,,,,,216,28%,26%,53%,$269 ,,,85%,57%,-29%,$390 ,$181 ,$234 ,39%,$124 ,$124 ,[object Object]
Medallia,MDLA,,4/30/19,,32%,65%,-8%,24%,18%,,2000,2019,119%,0.6,1,0.4,30.6,4395258.1,,,506194,243,21%,11%,36%,$374 ,$286 ,29%,,,-2%,$450 ,$282 ,$336 ,25%,$132 ,$132 ,[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67%,75%,-8%,77%,-13%,127%,,,120%,1.1,1.2,0.9,14,329998.5,9969,5.9,23026.5,244.5,28%,14%,50%,$374 ,$309 ,75%,78%,80%,-18%,$532 ,$189 ,$298 ,70%,$157 ,$157 ,
,,,,,71%,76%,-11%,68%,-13%,127%,,,126%,1.1,1.1,0.9,15.7,970295.5,34333.8,6.2,103156.8,233.5,26%,18%,46%,$352 ,$313 ,76%,79%,82%,-15%,$544 ,$207 ,$291 ,67%,$230 ,$230 ,
